GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Reflection,io.tsachev.mirrors.reflection.type,ReflectionClassDeclaredType,30,0,2,0,10,0,6,0,5,0
Reflection,io.tsachev.mirrors.reflection.type,ReflectionNullType,16,0,0,0,5,0,4,0,4,0
Reflection,io.tsachev.mirrors.reflection.type,AbstractReflectionDeclaredType,9,0,0,0,3,0,2,0,2,0
Reflection,io.tsachev.mirrors.reflection.type,ReflectionPrimitiveType,81,0,0,0,21,0,12,0,12,0
Reflection,io.tsachev.mirrors.reflection.type,AbstractReflectionTypeMirror,23,0,0,0,7,0,5,0,5,0
Reflection,io.tsachev.mirrors.reflection.type,ReflectionNoType,47,0,0,0,14,0,10,0,10,0
Reflection,io.tsachev.mirrors.reflection.type,ReflectionArrayType,26,0,2,0,8,0,5,0,4,0
Reflection,io.tsachev.mirrors.reflection.internal,ReflectionTypesImpl,144,0,20,0,39,0,34,0,20,0
Reflection,io.tsachev.mirrors.reflection.internal,Constant,221,119,38,13,38,23,36,10,10,7
Reflection,io.tsachev.mirrors.reflection.internal,ReflectionTypesImpl.new Object() {...},75,0,0,0,1,0,1,0,1,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionClassTypeElement,169,0,30,0,42,0,28,0,13,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationValue.ReflectionConstantAnnotationValue,113,0,18,0,23,0,12,0,3,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationMirror,92,0,4,0,23,0,6,0,4,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationValue,106,0,10,0,27,0,8,0,3,0
Reflection,io.tsachev.mirrors.reflection.element,AbstractReflectionExecutableElement.ReflectionMethodExecutableElement,33,0,2,0,8,0,5,0,4,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionParameterVariableElement,37,0,0,0,9,0,7,0,7,0
Reflection,io.tsachev.mirrors.reflection.element,StringName,61,0,4,0,15,0,10,0,8,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationValue.ReflectionArrayAnnotationValue,12,0,0,0,3,0,2,0,2,0
Reflection,io.tsachev.mirrors.reflection.element,AbstractReflectionExecutableElement.ReflectionConstructorExecutableElement,18,0,0,0,5,0,4,0,4,0
Reflection,io.tsachev.mirrors.reflection.element,AbstractReflectionExecutableElement,60,0,2,0,18,0,14,0,13,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionFieldVariableElement,86,0,10,0,23,0,12,0,7,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationValue.ReflectionTypeAnnotationValue,22,0,0,0,4,0,3,0,3,0
Reflection,io.tsachev.mirrors.reflection.element,AbstractReflectionVariableElement,11,0,0,0,4,0,3,0,3,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationValue.ReflectionAnnotationAnnotationValue,12,0,0,0,3,0,2,0,2,0
Reflection,io.tsachev.mirrors.reflection.element,AbstractReflectionElement,140,0,24,0,40,0,25,0,13,0
Reflection,io.tsachev.mirrors.reflection.element,ReflectionAnnotationValue.ReflectionEnumConstantAnnotationValue,27,0,0,0,4,0,3,0,3,0
